"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1990",24.531,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1991",24.223,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1992",24.205,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1993",24.031,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1994",23.819,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1995",24.077,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1996",24.131,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1997",24.522,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1998",25.062,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","1999",25.102,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2000",25.407,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2001",25.496,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2002",25.378,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2003",25.109,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2004",25.67,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2005",25.714,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2006",25.548,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2007",25.439,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2008",25.114,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2009",24.799,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2010",24.234,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2011",23.907,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2012",23.642,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2013",22.785,
"AUS","AIREMISSION","GHG","TONNE_CAP","A","2014",22.239,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1990",10.269,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1991",10.656,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1992",9.684,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1993",9.612,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1994",9.64,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1995",10.042,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1996",10.43,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1997",10.351,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1998",10.251,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","1999",10.023,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2000",10.039,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2001",10.492,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2002",10.657,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2003",11.335,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2004",11.241,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2005",11.284,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2006",10.883,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2007",10.517,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2008",10.467,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2009",9.613,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2010",10.16,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2011",9.85,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2012",9.482,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2013",9.452,
"AUT","AIREMISSION","GHG","TONNE_CAP","A","2014",8.977,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1990",14.65,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1991",14.876,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1992",14.772,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1993",14.616,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1994",15.015,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1995",15.194,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1996",15.523,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1997",14.651,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1998",15.127,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","1999",14.478,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2000",14.556,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2001",14.351,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2002",14.25,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2003",14.223,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2004",14.295,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2005",13.819,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2006",13.372,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2007",12.842,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2008",12.955,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2009",11.653,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2010",12.203,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2011",11.118,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2012",10.672,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2013",10.662,
"BEL","AIREMISSION","GHG","TONNE_CAP","A","2014",10.091,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1990",22.132,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1991",21.597,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1992",21.95,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1993",21.775,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1994",22.275,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1995",22.703,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1996",23.122,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1997",23.419,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1998",23.478,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","1999",23.737,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2000",24.253,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2001",23.645,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2002",23.483,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2003",23.862,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2004",23.676,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2005",23.18,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2006",22.658,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2007",23.033,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2008",22.182,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2009",20.646,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2010",20.7,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2011",20.582,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2012",20.595,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2013",20.71,
"CAN","AIREMISSION","GHG","TONNE_CAP","A","2014",20.509,
"CZE","AIREMISSION","GHG","TONNE_CAP","A","1990",18.851,
"CZE","AIREMISSION","GHG","TONNE_CAP","A","1991",17.128,
"CZE","AIREMISSION","GHG","TONNE_CAP","A","1992",16.475,
"CZE","AIREMISSION","GHG","TONNE_CAP","A","1993",15.693,
"CZE","AIREMISSION","GHG","TONNE_CAP","A","1994",14.944,
"CZE","AIREMISSION","GHG","TONNE_CAP","A","1995",14.993,
"CZE","AIREMISSION","GHG","TONNE_CAP","A","1996",15.225,
"CZE","AIREMISSION","GHG","TONNE_CAP","A","1997",14.863,
"CZE","AIREMISSION","GHG","TONNE_CAP","A","1998",14.323,
