headline,snippet,web_url,lead_paragraph
"{u'main': u""RECORDS SHOW MILDER WINTERS FOR CANADA; There Won't Be Any of All 234 Years From Now if Present. Tendency Continues.""}",Records show milder winters for Canada...,https://query.nytimes.com/gst/abstract.html?res=9C00E7DE143AEE3ABC4D52DFB466838A629EDE,
"{u'main': u'Canada to Phase Out Coal-Fired Electricity by 2030', u'print_headline': u'Canada to Phase Out Coal-Fired Electricity by 2030'}",Canada announced it plans phase out the use of coal-fired electricity by 2030. The move is in stark contrast to President-elect Donald Trump’s vow to revive the American coal industry....,https://www.nytimes.com/aponline/2016/11/21/world/ap-cn-canada-coal-phase-out.html,Canada announced it plans phase out the use of coal-fired electricity by 2030. The move is in stark contrast to President-elect Donald Trump’s vow to revive the American coal industry.
"{u'main': u'Canada, Climate and Trade', u'kicker': u'Green'}",Canada and the United States could be heading for a clash over energy exports....,https://green.blogs.nytimes.com/2009/12/18/canada-climate-and-trade/,"Regardless of the outcome of the climate talks in Copenhagen, Canada and the United States could be heading for a trade battle over energy exports, according to a prominent Canadian trade lawyer who recently returned from the Danish capital."
{u'main': u'INVESTING CLIMATE IN CANADA HAILED'},"MURRAY BAY, Que., June 17 (Canadian Press) -- The climate for saving and investing is better than it was a year ago, Norman J. Alexander, president of the Investment Dealers' Association of Canada, said today at the association's annual meeting....",https://query.nytimes.com/gst/abstract.html?res=9407E6DE143FE333A2575BC1A9609C946191D6CF,"MURRAY BAY, Que., June 17 (Canadian Press) -- The climate for saving and investing is better than it was a year ago, Norman J. Alexander, president of the Investment Dealers' Association of Canada, said today at the association's annual meeting."
"{u'main': u'Justin Trudeau, Canadian Prime Minister, Making Rare Official Visit', u'print_headline': u'Canadian Leader Making Rare State Visit'}",The first state visit by a Canadian leader in 19 years was made possible in part by new pledges of cooperation on combating climate change....,https://www.nytimes.com/2016/03/10/us/politics/canada-leader-justin-tredeau-obama-visit.html,The first state visit by a Canadian leader in 19 years was made possible in part by new pledges of cooperation on combating climate change.
"{u'main': u'Canada\u2019s New Leadership Reverses Course on Climate Change', u'print_headline': u' New Leadership Quickly Reverses Canada&#8217;s Position on Climate Change '}","The new prime minister, Justin Trudeau, has moved climate-change policy to the top of the country’s political agenda after it spent nearly a decade as an afterthought....",https://www.nytimes.com/2015/11/27/world/americas/canadas-new-leadership-reverses-course-on-climate-change.html,"The new prime minister, Justin Trudeau, has moved climate-change policy to the top of the country’s political agenda after it spent nearly a decade as an afterthought."
"{u'main': u'Canada: Pledge Sent to U.N. to Reduce Greenhouse Gas Emissions by 2030', u'print_headline': u'The Americas; Canada: Pledge Sent to U.N. to Reduce Greenhouse Gas Emissions by 2030', u'content_kicker': u'World Briefing'}",Prime Minister Stephen Harper’s government said Friday that Canada would reduce greenhouse gas emissions by 30 percent below 2005 levels by 2030....,https://www.nytimes.com/2015/05/16/world/americas/canada-pledge-sent-to-un-to-reduce-greenhouse-gas-emissions-by-2030.html,Prime Minister Stephen Harper’s government said Friday that Canada would reduce greenhouse gas emissions by 30 percent below 2005 levels by 2030.
"{u'main': u'In Canada, TV Goes Deep on Climate', u'kicker': u'Dot Earth'}","A rare thing: five hours of television on climate modeling, science, politics, media coverage and more....",https://dotearth.blogs.nytimes.com/2010/03/26/in-canada-tv-goes-deep-on-climate/,"In a world of shrinking conventional coverage of (non-medical) science and the environment, it was refreshing recently to become aware of the The Agenda with Steve Paikin, a popular current-affairs program on public television in Ontario -- particularly its five-hour string of shows devoted to some of the prime facets of the climate challenge."
"{u'main': u'Canada\u2019s Trudeau Steps Up on Climate Change', u'kicker': u'Editorial', u'print_headline': u'Canada Steps Up on Climate Change', u'content_kicker': u'Editorial'}","The prime minister’s plan to put a price on carbon emissions is a significant environmental step, and leaves provinces with choices on how to carry it out....",https://www.nytimes.com/2016/10/07/opinion/canadas-trudeau-steps-up-on-climate-change.html,"The prime minister’s plan to put a price on carbon emissions is a significant environmental step, and leaves provinces with choices on how to carry it out."
"{u'seo': u'Canada Leaving Kyoto Protocol on Climate Change', u'main': u'Canada Announces Exit From Kyoto Climate Treaty', u'print_headline': u'Canada Announces Exit From Kyoto Climate Treaty'}","In announcing the decision, government officials indicated that the possibility of huge fines for Canada’s failure to meet greenhouse gas emissions targets had played a role....",https://www.nytimes.com/2011/12/13/science/earth/canada-leaving-kyoto-protocol-on-climate-change.html,"In announcing the decision, government officials indicated that the possibility of huge fines for Canada’s failure to meet greenhouse gas emissions targets had played a role."
"{u'main': u""TAX FREE BONDS AN EVIL?; What the Government Loses In Taxes and Gains in Interest. Early Birds. THE COLOMBIAN TREATY Result of an Inquiry Into the Attitude of Mr. Harding Regarding It. NEW BALTIC STATES. Recognition by the Allies Defended --Rumania and Poland Criticised. Help for China. ONLY 40 BELOW ZERO. Canadian Northwest Doesn't Mind Little Touch of Winter. WAGES OVER 700 YEARS. Have Risen From 3 Cents a Day in 1250 to $5 in 1920.""}",quotes W Hardy's table of wages in England from 1250 to 1920...,https://query.nytimes.com/gst/abstract.html?res=9806EFDD1631EF33A25751C0A9649C946095D6CF,
"{u'main': u'Climate Changes Mean Canada to Spend More on Disasters-Insurers', u'print_headline': u'Climate Changes Mean Canada to Spend More on Disasters-Insurers'}","Canada will have to set aside more money to deal with natural disasters like wildfires, storms and floods as climate change starts to bite, the head of the country's property insurance industry group said on Wednesday....",https://www.nytimes.com/reuters/2016/05/18/us/18reuters-canada-wildfire-climatechange.html,"Canada will have to set aside more money to deal with natural disasters like wildfires, storms and floods as climate change starts to bite, the head of the country's property insurance industry group said on Wednesday."
"{u'main': u'Trudeau, Canadian Provinces Set for Tough Climate Change Talks', u'print_headline': u'Trudeau, Canadian Provinces Set for Tough Climate Change Talks'}","Canadian Prime Minister Justin Trudeau faces a challenging day of climate change talks on Thursday with leaders of the country's 10 provinces, one of whom opposes a key part of Ottawa's plan to cut greenhouse gas emissions....",https://www.nytimes.com/reuters/2016/02/29/world/americas/29reuters-canada-climatechange.html,"Canadian Prime Minister Justin Trudeau faces a challenging day of climate change talks on Thursday with leaders of the country's 10 provinces, one of whom opposes a key part of Ottawa's plan to cut greenhouse gas emissions."
{u'main': u'Sniper Attacks on Doctors Create Climate of Fear in Canada'},"For many Canadian doctors who perform abortions, it has become a grim mid-autumn ritual. They pull their drapes at night and wear bulletproof vests to the office. They are told to drive different cars and change the spots they park in from day to ...",https://www.nytimes.com/1998/10/29/nyregion/sniper-attacks-on-doctors-create-climate-of-fear-in-canada.html,"For many Canadian doctors who perform abortions, it has become a grim mid-autumn ritual. They pull their drapes at night and wear bulletproof vests to the office. They are told to drive different cars and change the spots they park in from day to day. Some even schedule their vacations for the first two weeks of November. The doctors in this part of Canada have been aware of the danger since Nov. 10, 1995. A gunman standing in the rain in a wooded ravine behind the Tudor home of Dr. Hugh Short here, about an hour's drive from Niagara Falls, fired a shot from a high-powered hunting rifle through the kitchen window, shattering his elbow and ending his career at 62."
"{u'main': u'Canada Ratifies Paris Climate Change Deal in Boost for Trudeau', u'print_headline': u'Canada Ratifies Paris Climate Change Deal in Boost for Trudeau'}","Canada's Parliament on Wednesday ratified the Paris agreement to curb climate-warming emissions, bolstering Prime Minister Justin Trudeau's bid to tackle climate change after a decade of inaction by the previous government....",https://www.nytimes.com/reuters/2016/10/05/world/americas/05reuters-climatechange-canada.html,"Canada's Parliament on Wednesday ratified the Paris agreement to curb climate-warming emissions, bolstering Prime Minister Justin Trudeau's bid to tackle climate change after a decade of inaction by the previous government."
