headline,snippet,web_url,lead_paragraph
"{u'main': u'Awash in Oil, Canada Looks Toward China', u'print_headline': u'Awash in Oil, Canada Looks Toward China', u'content_kicker': u'Special Report: Energy'}",China's growing energy needs are making the idea of a trans-Pacific market for Canadian oil increasingly attractive....,https://www.nytimes.com/2011/10/12/business/energy-environment/awash-in-oil-canada-looks-toward-china.html,China's growing energy needs are making the idea of a trans-Pacific market for Canadian oil increasingly attractive.
"{u'main': u'Canada Today: South Korean Hockey, Biking to the Border and Medicine Hat\u2019s Money', u'kicker': u'', u'print_headline': u'Canada Today: South Korean Hockey, Biking to the Border and Medicine Hat\u2019s Money', u'content_kicker': u''}","Medicine Hat, Alberta, has plans to set up a sovereign fund with its oil and gas revenue, a shift as it becomes a leader in renewable energy....",https://www.nytimes.com/2017/02/24/world/canada/canada-today-medicine-hat.html,"Medicine Hat, Alberta, has plans to set up a sovereign fund with its oil and gas revenue, a shift as it becomes a leader in renewable energy."
{u'main': u'Canada Builds a Large Oil Estimate on Sand'},"This year's rankings of oil reserves included a surprise that grabbed the attention of some industry experts: Canada had leaped into second place, increasing its reserves from 5 billion barrels to 180 billion barrels.    The rankings, both private...",https://www.nytimes.com/2003/06/18/business/canada-builds-a-large-oil-estimate-on-sand.html,"This year's rankings of oil reserves included a surprise that grabbed the attention of some industry experts: Canada had leaped into second place, increasing its reserves from 5 billion barrels to 180 billion barrels. The rankings, both private and government, are far from scientific. In this case, the new assessment of Canada's reserves was promoted by a Canadian energy trade group and, upon further examination, turned out to be highly questionable."
"{u'seo': u'Walter Energy to Buy Western Coal of Canada', u'main': u'Walter Energy Will Buy Rival', u'print_headline': u'Walter Energy Will Buy Rival'}","Walter, based in Tampa, Fla., agreed to pay $3.3 billion for Western, a 56 percent premium over the share price just before talks began....",https://www.nytimes.com/2010/12/04/business/energy-environment/04coal.html,"Walter, based in Tampa, Fla., agreed to pay $3.3 billion for Western, a 56 percent premium over the share price just before talks began."
"{u'main': u'Canada Produces Strain of Algae for Fuel', u'kicker': u'I.H.T. Special Report', u'print_headline': u'Canada Produces a Promising Strain of Oil-Producing Algae', u'content_kicker': u'I.H.T. Special Report: Global Clean Energy'}",Researchers are developing a strain of algae that can potentially produce biofuel oil in vast quantities....,https://www.nytimes.com/2010/09/30/business/energy-environment/30iht-renalg.html,Researchers are developing a strain of algae that can potentially produce biofuel oil in vast quantities.
"{u'main': u""Keystone XL Pipeline: A 'Canada First' Energy Plan?"", u'print_headline': u""Keystone XL Pipeline: A 'Canada First' Energy Plan?""}","U.S. President Donald Trump's move this week to revive the Keystone XL oil pipeline marked a major step under his ""America First"" energy plan to boost U.S. drillers and create new U.S. jobs. But the project's biggest winners may be Canadian....",https://www.nytimes.com/reuters/2017/01/27/business/27reuters-usa-trump-pipeline-canada-analysis.html,"U.S. President Donald Trump's move this week to revive the Keystone XL oil pipeline marked a major step under his ""America First"" energy plan to boost U.S. drillers and create new U.S. jobs. But the project's biggest winners may be Canadian."
"{u'main': u""Keystone XL Pipeline: A 'Canada First' Energy Plan?"", u'print_headline': u""Keystone XL Pipeline: A 'Canada First' Energy Plan?""}","U.S. President Donald Trump's move this week to revive the Keystone XL oil pipeline marked a major step under his ""America First"" energy plan to boost U.S. drillers and create new U.S. jobs. But the project's biggest winners may be Canadian....",https://www.nytimes.com/reuters/2017/01/26/business/26reuters-usa-trump-pipeline-canada-analysis.html,"U.S. President Donald Trump's move this week to revive the Keystone XL oil pipeline marked a major step under his ""America First"" energy plan to boost U.S. drillers and create new U.S. jobs. But the project's biggest winners may be Canadian."
{u'main': u'World Business Briefing | Americas: Canada: Oil Acquisition'},"Petrofund Energy Trust, one of Canada's oldest oil and natural gas income trusts, agreed to buy the Ultima Energy Trust for about 446 million Canadian dollars ($341 million) to reduce the cost of borrowing money for acquisitions. Petrofund will pa...",https://www.nytimes.com/2004/03/30/business/world-business-briefing-americas-canada-oil-acquisition.html,"Petrofund Energy Trust, one of Canada's oldest oil and natural gas income trusts, agreed to buy the Ultima Energy Trust for about 446 million Canadian dollars ($341 million) to reduce the cost of borrowing money for acquisitions. Petrofund will pay 0.442 unit and 17 Canadian cents for each Ultima unit, the trusts, based in Calgary, Alberta, said in a statement. The acquisition will increase Petrofund's production to the equivalent of 37,133 barrels of oil a day and reduce interest costs, the trusts said. The expanded trust will have net debt of 231.7 million Canadian dollars. ''The larger size will improve Petrofund's financing ability and its ability to compete for future acquisitions,'' Chris Dutcher, Petrofund's director of business development, said. The acquisition would also help Petrofund comply with a provision of the federal budget proposed by the Canadian government last week that would limit foreign ownership of oil and gas trusts to about 49 percent, beginning in 2007, Mr. Dutcher said. About 66 percent of the units of Petrofund, which was created in 1988, are held by foreign investors, he said."
{u'main': u'CANADA RED-FACED ON NUCLEAR LEAK'},"Just as the Canadian Government announced this month that it had sold one of its heavy-water nuclear power plants to Rumania, one of its reactors in use developed an unprecedented leak.   The accident in Pickering, Ontario, never threatened public...",https://www.nytimes.com/1983/08/28/world/canada-red-faced-on-nuclear-leak.html,"Just as the Canadian Government announced this month that it had sold one of its heavy-water nuclear power plants to Rumania, one of its reactors in use developed an unprecedented leak. The accident in Pickering, Ontario, never threatened public safety, but it forced a costly shutdown of the power plant and increased criticism of the Government's interest in exporting the reactors to sustain Canada's nuclear industry, which has 35,000 workers. ''The most likely casualty from the accident will be the Government's efforts to export these reactors,'' said Norman Rubin, a spokesman for Energy Probe, a Toronto-based citizens action group that monitors and comments on Government energy policies and programs. The group contends that in its zeal to sell the reactors, the Government has been concentrating on developing countries that are unlikely or unable to apply full safeguards. In general, the group would like the Government to follow the lead of major private companies in the United States that are phasing out reactor construction while stressing projects in nuclear waste conversion and disposal."
"{u'main': u'Canada: Total Offer Is Criticized', u'print_headline': u'CANADA: TOTAL OFFER IS CRITICIZED', u'content_kicker': u'World Business Briefing | Americas'}",The largest shareholder of UTS Energy said it would not support a sweetened takeover offer from Total of France....,https://www.nytimes.com/2009/04/16/business/global/16fobriefs-TOTALOFFERIS_BRF.html,The largest shareholder of UTS Energy said it would not support a sweetened takeover offer from Total of France.
"{u'seo': u'Canada Could Approve Deal It Blocked for Energy Company', u'main': u'Canada Still Ponders Deal for Fuel Firm', u'print_headline': u'Canada Still Ponders Deal For Fuel Firm'}","Canada said the bid for Progress Energy Resources by the Malaysian state oil company Petronas, did not provide the “net benefit” required by law but that negotiations were continuing....",https://www.nytimes.com/2012/10/22/business/global/canada-could-approve-deal-it-blocked-for-energy-company.html,"Canada said the bid for Progress Energy Resources by the Malaysian state oil company Petronas, did not provide the “net benefit” required by law but that negotiations were continuing."
"{u'main': u'Canada: Scrutiny for Takeovers', u'kicker': u'World Business Briefing', u'print_headline': u'Canada: Scrutiny For Takeovers', u'content_kicker': u'World Business Briefing'}","Canada will add national security to the list of issues it considers before approving foreign takeovers of companies, Prime Minister Stephen J. Harper said. The change will not apply to takeovers that have already been announced. Mr. Harper’s an...",https://www.nytimes.com/2007/10/04/business/worldbusiness/04fobriefs-SCRUTINYFORT_BRF.html,"Canada will add national security to the list of issues it considers before approving foreign takeovers of companies, Prime Minister Stephen J. Harper said. The change will not apply to takeovers that have already been announced. Mr. Harper’s announcement follows a plan by a government-owned company from Abu Dhabi to acquire the PrimeWest Energy Trust, an oil and gas producer based in Calgary, Alberta, with properties in Western Canada, Montana, Wyoming and South Dakota. An earlier plan by a company controlled by the Chinese government to acquire a Canadian mine operator provoked considerable controversy in Canada. It was ultimately abandoned."
