headline,snippet,web_url,lead_paragraph
"{u'main': u""Greatest Threat to Caribou Herd in Canada Isn't From Wolves""}","Humans are a much bigger problem than wolves for a caribou herd in the oil sands area of Alberta, Canada, scientists reported last week in Frontiers in Ecology.      Studies of scat of moose, caribou and wolves in the area showed that caribou acco...",https://query.nytimes.com/gst/fullpage.html?res=9C0DE6D91031F93BA15755C0A9679D8B63,"Humans are a much bigger problem than wolves for a caribou herd in the oil sands area of Alberta, Canada, scientists reported last week in Frontiers in Ecology. Studies of scat of moose, caribou and wolves in the area showed that caribou accounted for only 10 percent of the animals consumed by wolves. Eighty percent of the wolves' diet was deer, with moose making up the remainder. Wolves' preference for deer, the researchers conclude, draws them away from the areas where caribou thrive."
"{u'main': u'World Briefing | Americas: Canada: Environment At Risk, Watchdog Says'}","The commissioner of the environment, Johanne Gélinas, said in a report that the country's drinking water, national parks and oceans were not being adequately protected. The report by Ms. Gélinas, who oversees environmental matters for the audito...",https://query.nytimes.com/gst/fullpage.html?res=9D02E6D91330F933A0575AC0A9639C8B63,"The commissioner of the environment, Johanne Gélinas, said in a report that the country's drinking water, national parks and oceans were not being adequately protected. The report by Ms. Gélinas, who oversees environmental matters for the auditor general, said the government, which has often pledged to make the environment a priority, ''suffers from a chronic inability to see its own initiatives to completion.'' In response, the environment minister, Stéphane Dion, acknowledged that the government could do more. Colin Campbell (NYT)"
{u'main': u'No-Confidence Vote in Canada Threatens U.N. Climate Change Meeting'},"On the same day Canada is to play host to a crucial environmental conference, Prime Minister Paul Martin's Liberal Party government is expected to fall in a no-confidence vote....",https://www.nytimes.com/2005/11/27/international/americas/27canada.html,"Monday was supposed to be the day Canada took the reins of international environmental leadership, playing host to a United Nations climate change conference in Montreal to begin a critical round of negotiations to decide how the world will confront global warming in the coming decades. But now Monday is also the day that Prime Minister Paul Martin's Liberal Party government is expected to fall in a no-confidence vote in the House of Commons. Many of the Canadian cabinet ministers and other members of Parliament who were supposed to attend the conference will now be scurrying to the campaign trail instead."
"{u'main': u'In Internal Canadian Documents, a Warning  on Oil Sands', u'kicker': u'Green'}","From potential contamination of a river to possible effects on public health, an agency ticked off risks from exploitation of oil sands that the government publicly dismisses....",https://green.blogs.nytimes.com/2011/12/22/in-internal-canadian-documents-a-warning-on-oil-sands/,Internal government documents show that Canada's scientific and environmental bureaucracy does not share the Conservative government's view that oil sands projects in Alberta have relatively little negative impact on the environment.
"{u'main': u'Dam in Canada Could Endanger Shad', u'kicker': u'OUTDOORS'}","WILL a power project in Canada's Bay of Fundy affect the future of East Coast fishing as far south as Florida? As farfetched as that question at first may seem, both Canadian and American scientists say the concern is warranted, for though it woul...",https://www.nytimes.com/1985/04/07/sports/outdoors-dam-in-canada-could-endanger-shad.html,"WILL a power project in Canada's Bay of Fundy affect the future of East Coast fishing as far south as Florida? As farfetched as that question at first may seem, both Canadian and American scientists say the concern is warranted, for though it would produce virtually pollution-free energy, the environmental costs of harnessing the Fundy tides of more than 50 feet may be too high. Most of those costs, due to the effects of a Fundy dam on tides in the Gulf of Maine, would be borne not by Canada, but by the United States, and would range from the flooding of valuable New England beachfront property to damage to coastal anadromous fish stocks, especially the herrings, most especially the American shad. While fishermen in the Northeast are just looking forward to the spring shad-spawning runs in the Delaware, Hudson, and Connecticut Rivers, in southern rivers the shad season has been under way since mid-February. In the St. John's in Florida, the Altemaha in Georgia, Albemarle Sound to Virginia's Rappahannock and Potomac, the traditional shad fisheries are commercial fisheries. There, gill nets take the large silver-sided herrings; most of the fish is sold for its roe."
"{u'main': u'Canada Today: Back Home, a Hidden Harvest and Water Worries', u'print_headline': u'Canada Today: Back Home, a Hidden Harvest and Water Worries'}",Finding people whose personal stories could illustrate a larger issue for an article about Toronto’s runaway house prices was a challenge....,https://www.nytimes.com/2017/03/17/world/canada/canada-today-back-home-a-hidden-harvest-and-water-worries.html,Finding people whose personal stories could illustrate a larger issue for an article about Toronto’s runaway house prices was a challenge.
"{u'main': u'Canada: Environment Minister Loses Portfolio', u'kicker': u'World Briefing  | Americas', u'print_headline': u'Canada: Environment Minister Loses Portfolio', u'content_kicker': u'World Briefing  | Americas'}","Prime Minister Stephen Harper shuffled his cabinet in anticipation of a possible election this year. The main move was the removal of Rona Ambrose, left, as environment minister after months of condemnation. Clean air and climate change are likely...",https://www.nytimes.com/2007/01/05/world/americas/05briefs-canadaenvironment.html,"Prime Minister Stephen Harper shuffled his cabinet in anticipation of a possible election this year. The main move was the removal of Rona Ambrose, left, as environment minister after months of condemnation. Clean air and climate change are likely to be major issues in the next national election, with the opposition Liberal Party now led by a former environment minister, Stéphane Dion. Ms. Ambrose was replaced by John Baird, who had been head of the Treasury Board. She is now intergovernmental affairs minister."
"{u'main': u""Advertising; Seagram's New Canadian Whisky""}","Since the fastest growing segment of the Canadian whisky business is the bottled-in-the-United States segment, it's not surprising that the Seagram Distillers Company has come up with an entry....",https://query.nytimes.com/gst/abstract.html?res=9803EFD7153CE034BC4F53DFB566838E669EDE,"Since the fastest growing segment of the Canadian whisky business is the bottled-in-the-United States segment, it's not surprising that the Seagram Distillers Company has come up with an entry."
"{u'main': u'In Canada, an Environmental Disaster Looms'}",LEAD: To the Editor:...,https://www.nytimes.com/1990/07/14/opinion/l-in-canada-an-environmental-disaster-looms-330390.html,LEAD: To the Editor:
{u'main': u'COMPANY NEWS; Uranium Suit Settled By Westinghouse Ontario Permits Trading in Brascan Harwyn to Acquire Slot Machine Rights Deltona Report Gets Qualifying Statement Reliance Unit Buys 7.9% of Penn Central Oceaneering Board Wins Proxy Fight Air Canada Orders 6 Lockheed Aircraft'},Ontario Securities Commissions says it has no objections to resumption of trading in Brascan Ltd shares on Toronto Stock Exchange (S)...,https://query.nytimes.com/gst/abstract.html?res=9E07E0DE1439E732A2575BC0A9639C946890D6CF,
