headline,snippet,web_url,lead_paragraph
{u'main': u'THE OIL QUESTION.; First Use of Canada Oil The Martyrs in Grease Flowing Wells Creeks of Crude Oil Singular Working Apparatus Description of the Territory Remarkable Gum Beds. THE OIL FIRST USED FIRST OIL REFINED THE CANADA OIL COMPANY THE FIRST FLOWING WELL. THE IMPEDIMENTS THE DRILLING AND PUMPING PECULIARITIES OF THE OIL. THE PRINCIPAL COMPANIES THE GUM BEDS THE CANADA OIL REGION THE INDUCEMENTS TO LOCATE.'},"Oil Region, Canada; Oil Region; The...",https://www.nytimes.com/1865/01/28/news/oil-question-first-use-canada-oil-martyrs-grease-flowing-wells-creeks-crude-oil.html,
"{u'main': u'LEASES LAKE OIL PLANT.; Cities Service Company Acquires Base at Wallaceburg, Canada.'}","Cities Service Oil Co obtains lease of Great Lakes Oil Refining Go's plant at Wallaceburg, Ont...",https://query.nytimes.com/gst/abstract.html?res=9400E4D7133FEE3ABC4C51DFB566838A639EDE,
"{u'main': u'CANADA GETS RUSSIAN OIL.; Contracts for 120,000 Metric Tons for Next Year.'}",Soviet Oil Trust announces conclusion of new contract with Canada for 1933 sales...,https://query.nytimes.com/gst/abstract.html?res=9A06E5D61E31E333A25755C2A9679D946394D6CF,
{u'main': u'Asks Canada to Resume Oil Bounty.'},Urges return of bounty on Can oil to save industry...,https://query.nytimes.com/gst/abstract.html?res=9A03E1D61230E33ABC4D52DFB3668382639EDE,
{u'main': u'LUXURY TAX EXEMPTIONS.; Revenue Collector Issues a List of Legal Deductions From Gross Income Canada Restricts Oil Leases.'},"Increasing experience with the Federal income tax administration is making individuals keep accurate account of their expenditures, William H. Edwards, Collector of Internal Revenue for Manhattan, said yesterday....",https://query.nytimes.com/gst/abstract.html?res=9D04E2D7133CE533A25752C1A9659C946095D6CF,"Increasing experience with the Federal income tax administration is making individuals keep accurate account of their expenditures, William H. Edwards, Collector of Internal Revenue for Manhattan, said yesterday."
"{u'main': u'ALL CANADA ON EDGE OF OIL SPECULATION; Bringing In of Calgary Wells Has Stirred Fever, Says C.R. Howard, Banker. MARKED GAINS IN INDUSTRY Total Exports in 12 Months Up to March 1 Were $1,297,744,000 -- $473,980,000 Came Here.'}","Canada, especially near Calgary, is in the midst of a speculative oil boom, according to Case R. Howard, manager of the Foreign Department of the Canadian Bank of Commerce. ""Many new companies have apparently been floated in Calgary,"" according to...",https://query.nytimes.com/gst/abstract.html?res=9D05EFD71039E633A25756C2A9629C946795D6CF,"Canada, especially near Calgary, is in the midst of a speculative oil boom, according to Case R. Howard, manager of the Foreign Department of the Canadian Bank of Commerce. ""Many new companies have apparently been floated in Calgary,"" according to Mr. Howard, and ""everybody in the country is talking oil."
"{u'main': u""HEDGING IN CANADA SENDS WHEAT DOWN; Dominion Pools Active as the New Grain Moves -- Much Spreading Results. CHICAGO'S LOSSES 1/2 CENT Corn Drops, September Reaching Low Mark for Season -- Oats and Rye Also Decline.""}","CHICAGO, Aug. 24. -- Hedging pressure against the movement of new Canadian wheat on the Chicago Board of Trade today, which was felt in spreading operations, carried prices in all markets off about a cent from yesterday's finish....",https://query.nytimes.com/gst/abstract.html?res=9A05EEDB1231E633A25756C2A96E9C946394D6CF,"CHICAGO, Aug. 24. -- Hedging pressure against the movement of new Canadian wheat on the Chicago Board of Trade today, which was felt in spreading operations, carried prices in all markets off about a cent from yesterday's finish."
{u'main': u'CLOSES TWO DEALS FOR OIL IN CANADA; H.L. Doherty & Co. to Carry On Exploration Work in Nova Scotia and Pictou Island. SURVEY TO BEGIN AT ONCE American Interests Also Active In Mosul Region With Turkish Company.'},Close contract for oil exploration in Nova Scotia...,https://query.nytimes.com/gst/abstract.html?res=980DEFDA1E3DEE3ABC4151DFB066838D639EDE,
"{u'main': u""WANT SHARE IN OIL OF HUDSON'S BAY CO.; American Interests Attracted by Exploration of Company's Land in Canada. WOULD LIKE TO GET STOCK Foreign Control Barred by British Holders -- New Company May Be Formed to Test Territory.""}",The possibility of finding oil in commercial quantities on the land holding of the Hudson's Bay Company in Canada has attracted much attention both here and in England. At present the company's land is being explored under a agreement with the Imp...,https://query.nytimes.com/gst/abstract.html?res=9401EFD91031E333A25757C2A9619C946295D6CF,"The possibility of finding oil in commercial quantities on the land holding of the Hudson's Bay Company in Canada has attracted much attention both here and in England. At present the company's land is being explored under a agreement with the Imperial Oil Company of Canada, the Canadian subsidiary of the Standard Oil Company of New Jersey."
{u'main': u'STANDARD OIL IN CANADA.; Warehouses to be Erected to Take Advantage of the New Tariff.'},"MONTREAL, May 23. -- It is announced that the Standard Oil Company is about to erect extensive warehouses at Montreal and at Toronto, with the expectation of considerably increasing its Canadian business. This is a direct result of the new Canadia...",https://query.nytimes.com/gst/abstract.html?res=9F06EEDB1230E333A25757C2A9639C94669ED7CF,"MONTREAL, May 23. -- It is announced that the Standard Oil Company is about to erect extensive warehouses at Montreal and at Toronto, with the expectation of considerably increasing its Canadian business. This is a direct result of the new Canadian tariff."
