headline,snippet,web_url,lead_paragraph
{u'main': u'Canada Today: Trump Is a Blessing and a Curse for Trudeau'},"Prime Minister Justin Trudeau faces a balancing act over the resurrected Keystone XL pipeline, and plays down the effects of possible Nafta changes for Canada....",https://www.nytimes.com/2017/01/27/world/canada/canada-today-trump-trudeau.html,"Prime Minister Justin Trudeau faces a balancing act over the resurrected Keystone XL pipeline, and plays down the effects of possible Nafta changes for Canada."
{u'main': u'World Business Briefing | Americas: Canada: Partnership Buys Pipeline'},The Inter Pipeline Fund agreed to buy the Corridor pipeline system in Alberta from Kinder Morgan for 275 million Canadian dollars ($233 million) to become the largest shipper of bitumen from the province's oil sands. The Corridor system transports...,https://query.nytimes.com/gst/fullpage.html?res=9B0CEFD61431F935A35750C0A9619C8B63,"The Inter Pipeline Fund agreed to buy the Corridor pipeline system in Alberta from Kinder Morgan for 275 million Canadian dollars ($233 million) to become the largest shipper of bitumen from the province's oil sands. The Corridor system transports diluted bitumen, a heavy oil, from the Athabasca oil sands project near Fort McMurray to a processing plant near Edmonton, the partnership said. Inter Pipeline will also assume 485 million Canadian dollars of Corridor debt. Inter Pipeline already operates and holds an 85 percent stake in the Cold Lake pipeline, which transports 330,000 barrels of blended bitumen a day in east-central Alberta. After the Corridor acquisition, the partnership said its lines would carry about half of the production of bitumen from Alberta's tarlike oil sands."
{u'main': u'World Business Briefing | Americas: Canada: Pipelines Sold'},"Canada's largest natural gas producer, the EnCana Corporation, sold one pipeline and said it would complete the sale of a second later this month for a total of 1.6 billion Canadian dollars ($1.01 billion) to cut debt and pay for oil and gas proje...",https://www.nytimes.com/2003/01/04/business/world-business-briefing-americas-canada-pipelines-sold.html,"Canada's largest natural gas producer, the EnCana Corporation, sold one pipeline and said it would complete the sale of a second later this month for a total of 1.6 billion Canadian dollars ($1.01 billion) to cut debt and pay for oil and gas projects. EnCana, which is based in Calgary, Alberta, completed the sale of its 70 percent share in the Cold Lake Pipeline System to the Inter Pipeline Fund for 425 million Canadian dollars, the company said. Inter Pipeline, a limited partnership operating in western Canada, now owns 85 percent of Cold Lake. EnCana will also complete the sale of its Express Pipeline System later this month."
{u'main': u'Builder of Pipeline For Canadian Gas Said to Admit Guilt'},The company that built a 375-mile pipeline from the Canadian border to Long Island to supply millions of Northeastern homes with natural gas has agreed to plead guilty next week to omitting crucial safety devices and damaging scores of wetland are...,https://www.nytimes.com/1996/05/17/nyregion/builder-of-pipeline-for-canadian-gas-said-to-admit-guilt.html,"The company that built a 375-mile pipeline from the Canadian border to Long Island to supply millions of Northeastern homes with natural gas has agreed to plead guilty next week to omitting crucial safety devices and damaging scores of wetland areas and is to pay fines of $22 million, according to two defense lawyers involved in the case. The pleas are the culmination of a four-year Federal investigation into charges that the Iroquois Pipeline Operating Company, in its haste to complete the $695 million pipeline by contractual deadlines, took short cuts. Iroquois, investigators have said, allowed large rocks to be returned into trenches where they might scratch or dent the pipe and also omitted devices to support the pipe against hazardous erosion."
"{u'main': u'WILLIAMS COMPANIES SELLS THREE PLANTS IN CANADA', u'kicker': u'COMPANY NEWS'}","The Williams Companies said yesterday that it had to sell three natural gas liquids extraction plants in Canada to Inter Pipeline Fund for $540 million in cash. Inter Pipeline of Calgary, Alberta, will buy the Cochrane and Empress II plants and Wi...",https://www.nytimes.com/2004/07/09/business/company-news-williams-companies-sells-three-plants-in-canada.html,"The Williams Companies said yesterday that it had to sell three natural gas liquids extraction plants in Canada to Inter Pipeline Fund for $540 million in cash. Inter Pipeline of Calgary, Alberta, will buy the Cochrane and Empress II plants and Williams' 50 percent ownership in the Empress V plant in southern Alberta in a deal expected to close in the third quarter, Williams said. Williams, based in Tulsa, Okla., expects a $190 million pretax gain in the third quarter from the sale, which also releases to Williams about $30 million in letters of credit and prepayments, the company said."
"{u'main': u'Exclusive: Kinder Morgan Starts Talks With Investors for $5.2 Billion Canada Pipeline Project-Sources', u'print_headline': u'Exclusive: Kinder Morgan Starts Talks With Investors for $5.2 Billion Canada Pipeline Project-Sources'}","Kinder Morgan Inc has begun talks with institutional investors including major Canadian pension funds and private equity firms to raise capital for the C$6.8 billion ($5.2 billion) expansion of its Trans Mountain pipeline project, according to peo...",https://www.nytimes.com/reuters/2017/02/17/business/17reuters-kinder-morgan-de-canada-financing-exclusive.html,"Kinder Morgan Inc has begun talks with institutional investors including major Canadian pension funds and private equity firms to raise capital for the C$6.8 billion ($5.2 billion) expansion of its Trans Mountain pipeline project, according to people familiar with the process."
"{u'main': u""Keystone XL Pipeline: A 'Canada First' Energy Plan?"", u'print_headline': u""Keystone XL Pipeline: A 'Canada First' Energy Plan?""}","U.S. President Donald Trump's move this week to revive the Keystone XL oil pipeline marked a major step under his ""America First"" energy plan to boost U.S. drillers and create new U.S. jobs. But the project's biggest winners may be Canadian....",https://www.nytimes.com/reuters/2017/01/27/business/27reuters-usa-trump-pipeline-canada-analysis.html,"U.S. President Donald Trump's move this week to revive the Keystone XL oil pipeline marked a major step under his ""America First"" energy plan to boost U.S. drillers and create new U.S. jobs. But the project's biggest winners may be Canadian."
"{u'main': u'BP to Sell Canadian Natural Gas Unit for $1.67 Billion', u'kicker': u'DealBook'}",The sale is part of a plan for BP to raise $45 billion by selling assets and businesses to strengthen its finances in the wake of the Gulf of Mexico oil spill disaster last year....,https://dealbook.nytimes.com/2011/12/01/bp-to-sell-canadian-gas-group-for-1-67-billion/,8:15 p.m. | Updated
"{u'seo': u'Canada&#8217;s Oil Minister, Unmuzzled', u'main': u'Canada\u2019s Oil Minister, Unmuzzled', u'kicker': u'Op-Ed Columnist', u'print_headline': u'Canada\u2019s Oil Minister, Unmuzzled', u'content_kicker': u'Joe Nocera'}","On a visit to New York and Washington, Joe Oliver has a few things to say to opponents of the Keystone XL oil pipeline....",https://www.nytimes.com/2013/04/25/opinion/nocera-canadas-oil-minister-unmuzzled.html,"On a visit to New York and Washington, Joe Oliver has a few things to say to opponents of the Keystone XL oil pipeline."
"{u'main': u'BP to Sell A Gas Unit In Canada', u'kicker': u'DEALBOOK'}",8:15 p.m. | Updated      LONDON - BP agreed on Thursday to sell a Canadian business to Plains All American Pipeline for $1.67 billion in cash as BP continues to streamline its operations and bolster its balance sheet....,https://query.nytimes.com/gst/fullpage.html?res=9A07E1DF1739F931A35751C1A9679D8B63,8:15 p.m. | Updated LONDON - BP agreed on Thursday to sell a Canadian business to Plains All American Pipeline for $1.67 billion in cash as BP continues to streamline its operations and bolster its balance sheet.
